salary offer ($USD),acceptance
385846,1
344531,0
452488,1
353142,1
304972,0
588704,1
322528,0
368657,1
584582,1
281440,0
329565,0
392710,1
361586,1
372210,1
321469,0
427224,1
406127,1
477977,1
288542,0
486277,1
343652,0
502381,1
331239,1
369871,0
357404,0
391038,1
392754,1
467979,0
399379,1
463543,1
383089,1
470628,1
488691,1
430744,1
346421,0
584566,1
306217,1
347893,0
523417,1
403934,1
548997,0
594367,1
440756,0
597847,0
486308,0
508010,1
310236,0
438721,1
350552,0
381435,1
360789,1
361959,1
283165,0
310810,0
321852,0
457721,1
439609,0
550820,1
431546,1
381098,1
527818,1
495131,1
491796,1
425555,1
290921,1
357455,0
345764,1
421324,1
558893,0
401074,1
413755,1
448688,1
551634,0
334259,0
546775,1
427127,1
436310,1
500854,1
298994,0
585062,1
350695,1
413641,0
544845,1
338011,0
381800,0
498117,1
292727,0
422960,1
422900,1
294863,0
292838,0
501159,1
299665,0
300386,0
298114,0
336587,0
286194,0
284065,0
302773,0
338270,1
372793,0
391741,1
292939,0
526813,1
334962,1
314662,0
504544,1
327896,0
566981,1
282407,1
322078,0
467021,1
431801,0
586239,1
397221,1
346550,0
374929,1
485645,1
317988,0
300450,0
382518,0
301819,1
291936,0
430812,1
595767,1
555452,1
544965,1
500642,1
293718,0
581600,1
311924,0
316732,0
538633,1
364092,0
583062,1
524587,1
427096,1
533280,1
529447,1
305645,0
301322,0
361005,0
463965,1
290919,0
430367,0
326376,0
301296,1
318269,0
347594,1
321906,1
541434,1
476154,1
307207,0
378975,0
315996,0
402273,0
283251,0
553640,1
559232,0
293977,1
340632,0
347870,1
372879,0
286837,0
564242,1
289764,0
439255,0
413340,1
590509,1
483974,1
492726,1
591436,1
498480,1
572583,1
525401,1
316404,1
322829,1
487767,1
284553,0
430219,1
505167,1
456116,1
545029,1
342637,0
412329,1
357697,0
436073,1
455533,1
426078,0
471734,1
352541,1
366122,0
356355,1
400857,1
575295,1
530366,1
442969,0
420685,1
437146,1
485934,0
